ID;Gender;Age;Marital Status;Job;Employment Status;Your Phone Model;Your bank information;How many years you are using internet banking application;How many years you are using mobile banking application;Do you find mobile application user-friendly;Internet banking usage frequency;Mobile banking usage frequency;Credit card debt inquiry;Credit card debt payment;Credit card limit transactions;Create & delete virtual card;Virtual card limit transactions;An additional new card application;Opening a new account;Balance check;Loan transaction;Transfer money to previously transferred account.;Transfer money to new account.;Invoice payment (If it is automatic payment than choose 1);Government payments;GSM transactions;Rent payment;Lottery transactions;HGS / OGS transactions;Tax / penalty transactions;SGK transactions;Bill transactions;Salary payment;Investment account transactions;Foreign money exchange transactions;Gold transactions;Investment fund transactions;Stock transactions;Public offering operations;Repo transactions;Bond transactions;Instant stock exchange transactions;Consumer credit usage;My credit accounts;Applying for mortgage ;Applying for car loan;Findeks risk report;New card application;New account opening;Request status;Foreign exchange calculation;Loan calculation;Make an appointment at a bank branch;Donate transactions;View payment schedule;View bank campaigns;Mobile signature use;Communicating with the bank
11;Man;25-30;Single;Engineer;Private sector;ASUS;Ziraat;0-5;3;Yes;0.005479452;0.005479452;0;0;0;0;0;0;0;0;0;0.005479452;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Woman;25-30;Married;computer engineer;Private sector;Nokia;Akbank;0-5;3;No;0.09863013698630137;0.09863013698630137;0.09863013698630137;0.032876712;0.005479452;0;0;0;0;0.09863013698630137;0.005479452;0.09863013698630137;0.005479452;2;0.032876712;0.032876712;0.032876712;0.032876712;0;0;0;0;0.032876712;0.032876712;0.032876712;0.032876712;0;0;-;-;-;0.032876712;0.032876712;0.032876712;0.032876712;-;-;-;0;0;0;0;0;0.005479452;0.09863013698630137;0.032876712;0;0.032876712
13;Woman;25-30;Married;computer engineer;Private sector;Galaxy S4;Akbank;10+;6;Yes;0.153424657;0.153424657;0.09863013698630137;-1;0;0;0;-1;-1;0.153424657;0;-1;-1;-1;-1;0.09863013698630137;-1;-1;0;0;0;0;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
14;Woman;25-30;Married;computer engineer;Private sector;Galaxy S4;Garanti;10+;6;Yes;0.153424657;0.153424657;0.09863013698630137;-1;0;0;0;-1;-1;0.153424657;0;-1;-1;-1;-1;0.09863013698630137;-1;-1;0;0;0;0;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
15;Woman;25-30;Married;computer engineer;Private sector;Galaxy S4;Isbank;10+;6;Yes;0.153424657;0.153424657;0.09863013698630137;-1;0;0;0;-1;-1;0.153424657;0;-1;-1;-1;-1;0.09863013698630137;-1;-1;0;0;0;0;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
16;Man;20-24;Single;computer engineer;Private sector;LG;Ziraat;0-5;3;Yes;0.005479452;0.460273;0.09863013698630137;0.032876712;0;0.005479452;0.005479452;0.005479452;0.005479452;0.460273;0;0.09863013698630137;0.005479452;0;0.005479452;0.032876712;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;Man;20-24;Single;computer engineer;Private sector;LG;Akbank;0-5;3;No;0.153424657;0.153424657;0;0;0;0;0;0;0;0.460273;0;0.09863013698630137;0.005479452;0;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;;;;;;;;;0
18;Woman;25-30;Single;computer engineer;Private sector;LG;Garanti;4-6;6;Yes;0.09863013698630137;0.09863013698630137;0.032876712;0.032876712;0;0.005479452;1;0;0;0.09863013698630137;0;0.032876712;0.005479452;2;0.032876712;0.032876712;0.032876712;0;0;0;0;0;0;0;0;0.032876712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.032876712;0;0.032876712;0;0;0.005479452
19;Woman;25-30;Single;computer engineer;Private sector;LG;Akbank;0-5;3;No;0.005479452;0.09863013698630137;0.032876712;0.032876712;0;0.005479452;0.032876712;0;0;0.09863013698630137;0;0.09863013698630137;0.032876712;0;0.032876712;0.032876712;0.032876712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Woman;25-30;Single;computer engineer;Private sector;LG;Finansbank;0-5;3;No;0.005479452;0.09863013698630137;0;0;0;0;0;0;0;0;0;0.005479452;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Woman;20-24;Single;Engineer;Private sector;Iphone;Akbank;0-5;3;No;0.005479452;0.460273;0.460273;0.460273;0;0;0;0;0;0.460273;0;0.460273;0.005479452;2;0.005479452;0.032876712;0.032876712;0;0;0;0;0;0.032876712;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09863013698630137;0.460273;0;0.005479452
22;Woman;20-24;Single;Engineer;Private sector;Iphone;Finansbank;0-5;3;Yes;0;0.460273;0;0;0;0;0;0;0;0.460273;0.460273;;0.005479452;2;0;2;0;0;0;0;0;0;0;0;0.460273;0.460273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.460273;0.005479452;0;0;0.005479452;0.09863013698630137;0;0
23;Woman;20-24;Single;Engineer;Private sector;Iphone;ING;0-5;3;No;0;0.09863013698630137;0.09863013698630137;0.09863013698630137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.460273;0;0
24;Woman;20-24;Single;Engineer;Private sector;Iphone;Isbank;4-6;6;Yes;0.005479452;1;0.460273;0.460273;0;0;0;0;0;0.460273;0;0.460273;0.005479452;2;0.005479452;0.032876712;0.032876712;0;0;0.005479452;0.005479452;0;0.032876712;0.09863013698630137;0.09863013698630137;0.09863013698630137;0;0;0;0;0;0.032876712;0;0;0;0;0;0;0;0;0;0.005479452;0;0.032876712;0.09863013698630137;0.460273;0;0.005479452
25;Man;25-30;Married;computer engineer;Private sector;Iphone 6;Akbank;;7;Yes;0.005479452;0.032876712;0;0;0;0;0;0;0;0;0;0.032876712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Man;20-24;Single;computer engineer;Private sector;LG V10;Akbank;0-5;3;Yes;0.032876712;0.460273;0;0;0;0;0;0;-1;2;0;0.09863013698630137;0.032876712;0.09863013698630137;-1;0.032876712;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0.005479452;0;0;0.032876712;0;0.09863013698630137;0;0.005479452
27;Woman;31-35;Married;"credit expert";Private sector;Iphone 5;Yapi Kredi;5-10;7;Yes;0.09863013698630137;0.09863013698630137;0.09863013698630137;-1;-1;-1;-1;-1;-1;0.032876712;0.09863013698630137;0.032876712;-1;-1;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;Man;25-30;Married;computer engineer;Private sector;Iphone  6;Garanti;5-10;7;Yes;0.153424657;0.460273;0.09863013698630137;-1;-1;-1;-1;-1;0;0.09863013698630137;-1;0.032876712;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;Man;31-35;Married;Engineer;Private sector;Samsung;Garanti;5-10;6;Yes;0.032876712;0.032876712;0.032876712;0.032876712;-1;-1;0.005479452;0;0;0.09863013698630137;-1;0.032876712;-1;2;2;;;;2;-1;-1;2;0.005479452;0.005479452;0.005479452;-1;;;-;-;-;-;0;-;-;-;-;-1;-;-1;;-1;-;-;-;-1;0;-1
30;Man;31-35;Married;Engineer;Private sector;Samsung;Akbank;5-10;6;Yes;0.032876712;0.032876712;0.032876712;0.032876712;-1;-1;0.005479452;0;0;0.09863013698630137;-1;0.032876712;-1;2;2;;;;2;-1;-1;2;0.005479452;0.005479452;0.005479452;-1;;;-;-;-;-;0;-;-;-;-;-1;-;-1;;-1;-;-;-;-1;0;-1
31;Woman;25-30;Single;computer engineer;Private sector;Iphone ;Akbank;5-10;3;Yes;0.153424657;0.153424657;0.032876712;0.032876712;0;0;0;0;0;0.032876712;0;0.032876712;0.032876712;0;0;0;0.032876712;0;0;0;0;0;0.032876712;0;0;0;0;0;0;0;0;0;0.005479452;0.032876712;0;0;0;0;0;0;0;0;0;0;0.032876712;0.032876712;0;0
32;Woman;25-30;Single;;Private sector;SONY XPER?A 75;Garanti;Never;3;No;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;Woman;25-30;Single;;Private sector;SONY XPER?A 75;Akbank;0-5;3;Yes;0;0.460273;0.032876712;0.032876712;0.005479452;0.005479452;0.032876712;0;0;0.09863013698630137;0;0.005479452;0.005479452;;0.09863013698630137;0.09863013698630137;0.09863013698630137;0;0;0;0;0;0;0.005479452;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;Man;20-24;Single;Software Engineer;Private sector;SONY Z2;Akbank;Never;3;No;0;0.09863013698630137;0;0;0;0;0;0;0;Several times in a week;0;0;0.09863013698630137;Once in a day;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;Man;25-30;Single;computer engineer;Private sector;Iphone 6;Garanti;0-5;3;Yes;0.09863013698630137;0.460273;0.09863013698630137;0.032876712;0;0;0;0;0.005479452;0.032876712;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005479452;0;0.032876712;0.005479452;0;0;0;0.005479452;0;0.005479452
36;Man;25-30;Single;computer engineer;Private sector;Iphone 6;Akbank;0-5;3;No;0.09863013698630137;0.460273;0.09863013698630137;0.032876712;0;0;0;0;0;0.032876712;0.032876712;0.032876712;0.09863013698630137;0;0;0;0;0;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0.032876712;0;0;0;0;0;0;0.09863013698630137;0.005479452;0;0;0.032876712;0.005479452;0;0.005479452
37;Man;50+;Married;Retired;Private sector;Nokia;Ziraat;Never;0;Yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;Man;36-40;Married;Not working ;Not working ;Android;YOK;Never;0;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Man;45-50;Single;public servant;Private sector;;Isbank;5-10;3;Yes;0.09863013698630137;0.460273;0.032876712;0.09863013698630137;0;0;0;0;0;0.09863013698630137;0;0.032876712;0;0.09863013698630137;0.09863013698630137;0;0;0;0;0.005479452;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0.005479452;0;0;0.005479452;0;0;0;0;0;0;0;0;-1;0;0.005479452
40;Man;50+;Married;public servant;Not working ;;Isbank;5-10;3;No;0.032876712;0.032876712;0;0;0;;;;;0;;;;0.09863013698630137;0.032876712;0.032876712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;Woman;45-50;; public servant;;;Garanti;5-10;3;Yes;0.460273;0;-1;-1;0;0;0;0;0;0;-1;-1;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Woman;;Married; public servant;Public institution ;;Garanti;0-5;3;No;0.460273;0;-1;-1;0;0;0;0;0;-1;0;-1;0;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;Man;25-30;Married; public servant;Public institution ;Samsung;Ziraat;0-5;3;Yes;0.460273;1;0.460273;0.032876712;-1;-1;0;0;0;0.153424657;0;0;0;0.09863013698630137;0.032876712;0.032876712;0;0;;0;0;0;0;0;0.032876712;0.032876712;0.032876712;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.153424657;0.460273;0;0
44;Man;50+;Married;;Public institution ;;Garanti;5-10;3;Yes;0.032876712;0.005479452;0;0;0;0;0;0;0;-1;-1;-1;0;0;0.005479452;0;0;0;0.005479452;0;0;-1;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;Man;50+;Married;;Public institution ;;Ziraat;5-10;3;Yes;0.032876712;0.005479452;0;0;0;0;0;0;0;-1;-1;-1;0;0;0.005479452;0;0;0;0.005479452;0;0;-1;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;Man;45-50;Married;;Public institution ;;Ziraat;0-5;;Yes;0.09863013698630137;0.09863013698630137;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0.005479452;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;Woman;41-45;Single;;Public institution ;Samsung;Ziraat;Never;0;No;0.005479452;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;Woman;31-35;Single; public servant;Public institution ;Iphone;Ziraat;5-10;3;Yes;0.460273;0.153424657;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-;-;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;-1;-1;-1;-1;-1;0
49;;50+;Married;;Public institution ;Smartphone;Garanti;Never;0;NO;0;0;0;0.09863013698630137;0.005479452;0;0;0;0;0;0;0;0;2;0;0.132876712;0.132876712;0;0;0;0;0;0.132876712;0;0;0;0;0;0;0;0;0;0.005479452;0.005479452;0;-;0;0;0;0;0;0;0;0;0.005479452;0;0;0
50;;50+;Married;;Public institution ;Smartphone;Vakifbank;Never;0;NO;0;0;0;0.09863013698630137;0.005479452;0;0;0;0;0;0;0;0;2;0;0.132876712;0.132876712;0;0;0;0;0;0.132876712;0;0;0;0;0;0;0;0;0;0.005479452;0.005479452;0;-;0;0;0;0;0;0;0;0;0.005479452;0;0;0
51;Man;25-30;Married; public servant;;Iphone;Yapi Kredi;;6;No;2;2;0.09863013698630137;0.09863013698630137;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;0.460273;0.460273;2;0.153424657;0.09863013698630137;0.09863013698630137;0.09863013698630137;0.09863013698630137;0;0;0;0;0;0;0.032876712;0.032876712;0.032876712;0;-;0.005479452;0.09863013698630137;0.005479452;0.005479452;0.005479452;-1;0.005479452;-1;0.005479452;-1;-1;0;2;1;0;-1;0.460273;0;0;-1
52;Man;45-50;Married; public servant;Public institution ;Samsung;Ziraat;0-5;3;NO;0.005479452;0.005479452;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005479452
53;Woman;25-30;Single; public servant;;Iphone 6;Garanti;0-5;;Yes;2;2;0.09863013698630137;0.032876712;-1;-1;-1;-1;0.005479452;0.09863013698630137;0;;;0.032876712;0.005479452;0;0.005479452;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;Woman;41-45;;public servant;Public institution ;Samsung Note 3;Ziraat;0-5;3;No;0.09863013698630137;0.460273;0.032876712;0.032876712;0.032876712;0.032876712;;0;0;0.153424657;0.153424657;;0.005479452;2;;0.005479452;0.032876712;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0.005479452;0.005479452;0.032876712;0.005479452
55;Woman;41-45;;public servant;Public institution ;Samsung Note 3;Garanti;0-5;3;No;0.09863013698630137;0.460273;0.032876712;0.032876712;0.032876712;0.032876712;;0;0;0.153424657;0.153424657;;0.005479452;2;;0.005479452;0.032876712;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0.005479452;0.005479452;0.032876712;0.005479452
56;Woman;41-45;;public servant;Public institution ;Samsung Note 3;Vakifbank;0-5;3;No;0.09863013698630137;0.460273;0.032876712;0.032876712;0.032876712;0.032876712;;0;0;0.153424657;0.153424657;;0.005479452;2;;0.005479452;0.032876712;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005479452;0;0;0;0;0;0;0;0;0;0;0.005479452;0.005479452;0.032876712;0.005479452
57;Man;41-45;Married;;Public institution ;Iphone 5;Ziraat;10+;6;Yes;0.005479452;0.460273;0.09863013698630137;0.032876712;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;1;0.005479452;0.09863013698630137;0.005479452;2;0.005479452;0;0;0;0.005479452;0.005479452;-;-;-;0.153424657;0.005479452;0.005479452;-;0.153424657;-;0.005479452;-;0.153424657;;;;-;-;0.005479452;0.005479452;-;-;-;-;-;0.09863013698630137;0.005479452;0.005479452;0.005479452
58;Man;41-45;Married;;Public institution ;Iphone 5;Isbank;10+;6;Yes;0.005479452;0.460273;0.09863013698630137;0.032876712;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;1;0.005479452;0.09863013698630137;0.005479452;2;0.005479452;0;0;0;0.005479452;0.005479452;-;-;-;0.153424657;0.005479452;0.005479452;-;0.153424657;-;0.005479452;-;0.153424657;;;;-;-;0.005479452;0.005479452;-;-;-;-;-;0.09863013698630137;0.005479452;0.005479452;0.005479452
59;Man;41-45;Married;;Public institution ;Iphone 5;Vakifbank;10+;6;Yes;0.005479452;0.460273;0.09863013698630137;0.032876712;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;1;0.005479452;0.09863013698630137;0.005479452;2;0.005479452;0;0;0;0.005479452;0.005479452;-;-;-;0.153424657;0.005479452;0.005479452;-;0.153424657;-;0.005479452;-;0.153424657;;;;-;-;0.005479452;0.005479452;-;-;-;-;-;0.09863013698630137;0.005479452;0.005479452;0.005479452
60;Man;25-30;Single; public servant;Public institution ;Samsung;Isbank;0-5;3;No;2;2;-1;-1;-1;-1;-1;-1;-1;-1;0;-1;-1;2;-1;-1;-1;0;0;0;0;0;0;-1;-;-;-;-1;-;0;0;-1;0;0;0;0;0;-1;-1;-1;0;0;0;0;0;-1;0;0
61;Man;31-35;Single; public servant;Public institution ;Samsung;Ziraat;5-10;0;Yes;0.09863013698630137;0;-1;0.005479452;0.005479452;0;0;0;0;-1;0.005479452;0.005479452;0;0;0.005479452;-1;0;0.005479452;0;0.005479452;0;0;-1;0;0;0;0;0;0;0;0;0;0;0.005479452;0;0;0;0;0;0;0;-1;0;0;-1;-1;0;0
62;Man;36-40;Married;interpreter;Private sector;Iphone 6;Garanti;5-10;7;Yes;1;1;0.153424657;0.153424657;0.005479452;-1;-1;0;0;1;1;0;0;0.09863013698630137;0.09863013698630137;0.09863013698630137;0.09863013698630137;0;0;-1;-1;0;0;0;-1;0;0;0;0;-1;-1;0;0;0;-1;0;0;0;0;-1;-1;-1;0;0;0;0;0;-1
63;Man;36-40;Married; public servant;Public institution ;Samsung Note 4;Ziraat;5-10;6;Yes;0.460273;0.460273;0.09863013698630137;0.032876712;0.032876712;0.032876712;0.032876712;0;0;0.09863013698630137;0;0.005479452;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0
64;Man;36-40;Married; public servant;Public institution ;Lenovo A7000;Ziraat;10+;3;NO;2;2;0;-1;0;0;0;0;0;0.09863013698630137;0;0.09863013698630137;0.09863013698630137;2;0.09863013698630137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;-1;0
65;Woman;41-45;Single; public servant;Public institution ;HTC DES?RE;Ziraat;5-10;0;Yes;0.09863013698630137;0;0.032876712;0;0;0;0;0;0;0.09863013698630137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;Man;45-50;Married;;Public institution ;Samsung;Ziraat;10+;6;No;0.460273;0.460273;0.09863013698630137;0.09863013698630137;0.005479452;0;0;0;0.005479452;0.460273;0.460273;0.032876712;0.005479452;2;;0;0;0.032876712;0.005479452;0.005479452;0;0;0;0.005479452;0.005479452;0.005479452;0.005479452;0.005479452;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-1;0;0.09863013698630137;0;0;0.032876712
67;Woman;45-50;Single; public servant;Public institution ;Iphone;Vakifbank;5-10;6;Yes;0.032876712;0.09863013698630137;0.032876712;0.032876712;0.032876712;0;0;0;0;0.032876712;0;0.09863013698630137;0.005479452;0;0;0.032876712;0.032876712;0;0;0;0;0;0;0;0;0;0;0;0;0.005479452;0;0;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0
68;Man;50+;Married; public servant;Public institution ;Samsung;Garanti;0-5;;Yes;0.460273;0;0.460273;0.032876712;0.005479452;0;0;0;0;0.460273;0.460273;0.460273;0.460273;0.460273;0;0;0;0;0.005479452;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.460273;0.005479452;0;0;0.09863013698630137;0.09863013698630137;0;0
69;Man;41-45;Married; public servant;Public institution ;Samsung Note 4;Garanti;10+;6;Yes;0.460273;0.153424657;0.09863013698630137;0.09863013698630137;-1;0;0;0;0;0;0;0.09863013698630137;0.09863013698630137;0;0.09863013698630137;0;0.032876712;0;-1;0.005479452;0;0;0;0;0;0;0;0;0;0;0;0;0.005479452;0.09863013698630137;0;0;0;0;0;0;0;0;0;0;0.032876712;0.09863013698630137;0;0
70;Man;50+;Married; public servant;Public institution ;Samsung;Garanti;0-5;3;No;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
